"OID","Country or Area","Year","Description","Magnitude","Value"
"193a6208GG...","AUSTRALIA","2004","OTHER ACCOUNTS RECEIVABLE","AUSTRALIAN DOLLA","37478000000"
"193a6308GG...","AUSTRALIA","2004","OTHER ACCOUNTS PAYABLE","AUSTRALIAN DOLLA","72027000000"
"193a61..GG...","AUSTRALIA","2004","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","480887000000"
"193a6...GG...","AUSTRALIA","2004","NET WORTH","AUSTRALIAN DOLLA","510018000000"
"193a6M2.GG...","AUSTRALIA","2004","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","29131000000"
"193a623.GG...","AUSTRALIA","2004","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a6204GG...","AUSTRALIA","2004","LOANS","AUSTRALIAN DOLLA","26529000000"
"193a6304GG...","AUSTRALIA","2004","LOANS","AUSTRALIAN DOLLA","36665000000"
"193a63..GG...","AUSTRALIA","2004","LIABILITIES","AUSTRALIAN DOLLA","321519000000"
"193a6206GG...","AUSTRALIA","2004","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","0"
"193a6306GG...","AUSTRALIA","2004","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","147325000000"
"193a6M3.GG...","AUSTRALIA","2004","GROSS DEBT AT MARKET VALUE","AUSTRALIAN DOLLA","321519000000"
"193a6307GG...","AUSTRALIA","2004","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a6207GG...","AUSTRALIA","2004","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a62..GG...","AUSTRALIA","2004","FINANCIAL ASSETS","AUSTRALIAN DOLLA","350650000000"
"193a6202GG...","AUSTRALIA","2004","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","15342000000"
"193a6302GG...","AUSTRALIA","2004","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","4323000000"
"193a6305GG...","AUSTRALIA","2003","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","0"
"193a6205GG...","AUSTRALIA","2003","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","190311000000"
"193a6203GG...","AUSTRALIA","2003","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","55990000000"
"193a6303GG...","AUSTRALIA","2003","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","63511000000"
"193a6208GG...","AUSTRALIA","2003","OTHER ACCOUNTS RECEIVABLE","AUSTRALIAN DOLLA","33964000000"
"193a6308GG...","AUSTRALIA","2003","OTHER ACCOUNTS PAYABLE","AUSTRALIAN DOLLA","67410000000"
"193a61..GG...","AUSTRALIA","2003","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","448841000000"
"193a6...GG...","AUSTRALIA","2003","NET WORTH","AUSTRALIAN DOLLA","446098000000"
"193a6M2.GG...","AUSTRALIA","2003","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","-2743000000"
"193a623.GG...","AUSTRALIA","2003","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a6204GG...","AUSTRALIA","2003","LOANS","AUSTRALIAN DOLLA","25799000000"
"193a6304GG...","AUSTRALIA","2003","LOANS","AUSTRALIAN DOLLA","41215000000"
"193a63..GG...","AUSTRALIA","2003","LIABILITIES","AUSTRALIAN DOLLA","323611000000"
"193a6206GG...","AUSTRALIA","2003","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","0"
"193a6306GG...","AUSTRALIA","2003","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","147327000000"
"193a6M3.GG...","AUSTRALIA","2003","GROSS DEBT AT MARKET VALUE","AUSTRALIAN DOLLA","323611000000"
"193a6307GG...","AUSTRALIA","2003","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a6207GG...","AUSTRALIA","2003","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a62..GG...","AUSTRALIA","2003","FINANCIAL ASSETS","AUSTRALIAN DOLLA","320868000000"
"193a6202GG...","AUSTRALIA","2003","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","14804000000"
"193a6302GG...","AUSTRALIA","2003","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","4148000000"
"193a61..GG...","AUSTRALIA","2002","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","419704000000"
"193a6...GG...","AUSTRALIA","2002","NET WORTH","AUSTRALIAN DOLLA","402564000000"
"193a6M2.GG...","AUSTRALIA","2002","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","-17140000000"
"193a623.GG...","AUSTRALIA","2002","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a63..GG...","AUSTRALIA","2002","LIABILITIES","AUSTRALIAN DOLLA","308265000000"
"193a62..GG...","AUSTRALIA","2002","FINANCIAL ASSETS","AUSTRALIAN DOLLA","291125000000"
"193a621.GG...","AUSTRALIA","2002","DOMESTIC","AUSTRALIAN DOLLA","291125000000"
"193a631.GG...","AUSTRALIA","2002","DOMESTIC","AUSTRALIAN DOLLA","308265000000"
"193a61..GG...","AUSTRALIA","2001","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","394864000000"
"193a6...GG...","AUSTRALIA","2001","NET WORTH","AUSTRALIAN DOLLA","366239000000"
"193a6M2.GG...","AUSTRALIA","2001","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","-28625000000"
"193a623.GG...","AUSTRALIA","2001","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a63..GG...","AUSTRALIA","2001","LIABILITIES","AUSTRALIAN DOLLA","313688000000"
"193a62..GG...","AUSTRALIA","2001","FINANCIAL ASSETS","AUSTRALIAN DOLLA","285063000000"
"193a621.GG...","AUSTRALIA","2001","DOMESTIC","AUSTRALIAN DOLLA","285063000000"
"193a631.GG...","AUSTRALIA","2001","DOMESTIC","AUSTRALIAN DOLLA","313688000000"
"193a61..GG...","AUSTRALIA","2000","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","382114000000"
"193a6...GG...","AUSTRALIA","2000","NET WORTH","AUSTRALIAN DOLLA","348803000000"
"193a6M2.GG...","AUSTRALIA","2000","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","-33311000000"
"193a623.GG...","AUSTRALIA","2000","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a63..GG...","AUSTRALIA","2000","LIABILITIES","AUSTRALIAN DOLLA","318700000000"
"193a62..GG...","AUSTRALIA","2000","FINANCIAL ASSETS","AUSTRALIAN DOLLA","285389000000"
"193a621.GG...","AUSTRALIA","2000","DOMESTIC","AUSTRALIAN DOLLA","285389000000"
"193a631.GG...","AUSTRALIA","2000","DOMESTIC","AUSTRALIAN DOLLA","318700000000"
"193a61..GG...","AUSTRALIA","1999","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","366482000000"
"193a6...GG...","AUSTRALIA","1999","NET WORTH","AUSTRALIAN DOLLA","328199000000"
"193a6M2.GG...","AUSTRALIA","1999","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","-38283000000"
"193a623.GG...","AUSTRALIA","1999","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a63..GG...","AUSTRALIA","1999","LIABILITIES","AUSTRALIAN DOLLA","319053000000"
"193a62..GG...","AUSTRALIA","1999","FINANCIAL ASSETS","AUSTRALIAN DOLLA","280770000000"
"193a621.GG...","AUSTRALIA","1999","DOMESTIC","AUSTRALIAN DOLLA","280770000000"
"193a631.GG...","AUSTRALIA","1999","DOMESTIC","AUSTRALIAN DOLLA","319053000000"
"122a6305GG...","AUSTRIA","2008","SHARES AND OTHER EQUITY","NATL CURRENCY","0"
"122a6205GG...","AUSTRIA","2008","SHARES AND OTHER EQUITY","NATL CURRENCY","36397000000"
"122a6203GG...","AUSTRIA","2008","SECURITIES OTHER THAN SHARES","NATL CURRENCY","7438000000"
"122a6303GG...","AUSTRIA","2008","SECURITIES OTHER THAN SHARES","NATL CURRENCY","161804000000"
"122a6208GG...","AUSTRIA","2008","OTHER ACCOUNTS RECEIVABLE","NATL CURRENCY","6126000000"
"122a6308GG...","AUSTRIA","2008","OTHER ACCOUNTS PAYABLE","NATL CURRENCY","2645000000"
"122a6M2.GG...","AUSTRIA","2008","NET FINANCIAL WORTH [62-63]","NATL CURRENCY","-92226000000"
"122a623.GG...","AUSTRIA","2008","MONETARY GOLD AND SDRS","NATL CURRENCY","0"
"122a6304GG...","AUSTRIA","2008","LOANS","NATL CURRENCY","22138000000"
"122a6204GG...","AUSTRIA","2008","LOANS","NATL CURRENCY","23459000000"
"122a63..GG...","AUSTRIA","2008","LIABILITIES","NATL CURRENCY","186587000000"
"122a6306GG...","AUSTRIA","2008","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6206GG...","AUSTRIA","2008","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6M35GG...","AUSTRIA","2008","GROSS DEBT AT FACE VALUE","NATL CURRENCY","176575000000"
"122a6307GG...","AUSTRIA","2008","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a6207GG...","AUSTRIA","2008","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a62..GG...","AUSTRIA","2008","FINANCIAL ASSETS","NATL CURRENCY","94361000000"
"122a6302GG...","AUSTRIA","2008","CURRENCY AND DEPOSITS","NATL CURRENCY","0"
"122a6202GG...","AUSTRIA","2008","CURRENCY AND DEPOSITS","NATL CURRENCY","20941000000"
"122a6305GG...","AUSTRIA","2007","SHARES AND OTHER EQUITY","NATL CURRENCY","0"
"122a6205GG...","AUSTRIA","2007","SHARES AND OTHER EQUITY","NATL CURRENCY","37922000000"
"122a6203GG...","AUSTRIA","2007","SECURITIES OTHER THAN SHARES","NATL CURRENCY","6955000000"
"122a6303GG...","AUSTRIA","2007","SECURITIES OTHER THAN SHARES","NATL CURRENCY","141039000000"
"122a6208GG...","AUSTRIA","2007","OTHER ACCOUNTS RECEIVABLE","NATL CURRENCY","5737000000"
"122a6308GG...","AUSTRIA","2007","OTHER ACCOUNTS PAYABLE","NATL CURRENCY","3753000000"
"122a6M2.GG...","AUSTRIA","2007","NET FINANCIAL WORTH [62-63]","NATL CURRENCY","-83099000000"
"122a623.GG...","AUSTRIA","2007","MONETARY GOLD AND SDRS","NATL CURRENCY","0"
"122a6304GG...","AUSTRIA","2007","LOANS","NATL CURRENCY","23585000000"
"122a6204GG...","AUSTRIA","2007","LOANS","NATL CURRENCY","22964000000"
"122a63..GG...","AUSTRIA","2007","LIABILITIES","NATL CURRENCY","168377000000"
"122a6306GG...","AUSTRIA","2007","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6206GG...","AUSTRIA","2007","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6M35GG...","AUSTRIA","2007","GROSS DEBT AT FACE VALUE","NATL CURRENCY","161033000000"
"122a6307GG...","AUSTRIA","2007","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a6207GG...","AUSTRIA","2007","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a62..GG...","AUSTRIA","2007","FINANCIAL ASSETS","NATL CURRENCY","85278000000"
"122a6302GG...","AUSTRIA","2007","CURRENCY AND DEPOSITS","NATL CURRENCY","0"
"122a6202GG...","AUSTRIA","2007","CURRENCY AND DEPOSITS","NATL CURRENCY","11700000000"
"122a6305GG...","AUSTRIA","2006","SHARES AND OTHER EQUITY","NATL CURRENCY","0"
"122a6205GG...","AUSTRIA","2006","SHARES AND OTHER EQUITY","NATL CURRENCY","36594000000"
"122a6203GG...","AUSTRIA","2006","SECURITIES OTHER THAN SHARES","NATL CURRENCY","5926000000"
"122a6303GG...","AUSTRIA","2006","SECURITIES OTHER THAN SHARES","NATL CURRENCY","141385000000"
"122a6208GG...","AUSTRIA","2006","OTHER ACCOUNTS RECEIVABLE","NATL CURRENCY","5330000000"
"122a6308GG...","AUSTRIA","2006","OTHER ACCOUNTS PAYABLE","NATL CURRENCY","3036000000"
"122a6M2.GG...","AUSTRIA","2006","NET FINANCIAL WORTH [62-63]","NATL CURRENCY","-85806000000"
"122a623.GG...","AUSTRIA","2006","MONETARY GOLD AND SDRS","NATL CURRENCY","0"
"122a6304GG...","AUSTRIA","2006","LOANS","NATL CURRENCY","25632000000"
"122a6204GG...","AUSTRIA","2006","LOANS","NATL CURRENCY","26057000000"
"122a63..GG...","AUSTRIA","2006","LIABILITIES","NATL CURRENCY","170053000000"
"122a6306GG...","AUSTRIA","2006","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6206GG...","AUSTRIA","2006","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6M35GG...","AUSTRIA","2006","GROSS DEBT AT FACE VALUE","NATL CURRENCY","159450000000"
"122a6307GG...","AUSTRIA","2006","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a6207GG...","AUSTRIA","2006","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a62..GG...","AUSTRIA","2006","FINANCIAL ASSETS","NATL CURRENCY","84247000000"
"122a6302GG...","AUSTRIA","2006","CURRENCY AND DEPOSITS","NATL CURRENCY","0"
"122a6202GG...","AUSTRIA","2006","CURRENCY AND DEPOSITS","NATL CURRENCY","10340000000"
"122a6305GG...","AUSTRIA","2005","SHARES AND OTHER EQUITY","NATL CURRENCY","0"
"122a6205GG...","AUSTRIA","2005","SHARES AND OTHER EQUITY","NATL CURRENCY","32724000000"
"122a6203GG...","AUSTRIA","2005","SECURITIES OTHER THAN SHARES","NATL CURRENCY","5808000000"
"122a6303GG...","AUSTRIA","2005","SECURITIES OTHER THAN SHARES","NATL CURRENCY","142177000000"
"122a6208GG...","AUSTRIA","2005","OTHER ACCOUNTS RECEIVABLE","NATL CURRENCY","5340000000"
"122a6308GG...","AUSTRIA","2005","OTHER ACCOUNTS PAYABLE","NATL CURRENCY","3036000000"
"122a6M2.GG...","AUSTRIA","2005","NET FINANCIAL WORTH [62-63]","NATL CURRENCY","-92277000000"
"122a623.GG...","AUSTRIA","2005","MONETARY GOLD AND SDRS","NATL CURRENCY","0"
"122a6304GG...","AUSTRIA","2005","LOANS","NATL CURRENCY","27157000000"
"122a6204GG...","AUSTRIA","2005","LOANS","NATL CURRENCY","25673000000"
"122a63..GG...","AUSTRIA","2005","LIABILITIES","NATL CURRENCY","172370000000"
"122a6306GG...","AUSTRIA","2005","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6206GG...","AUSTRIA","2005","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6M35GG...","AUSTRIA","2005","GROSS DEBT AT FACE VALUE","NATL CURRENCY","155753000000"
"122a6207GG...","AUSTRIA","2005","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a6307GG...","AUSTRIA","2005","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a62..GG...","AUSTRIA","2005","FINANCIAL ASSETS","NATL CURRENCY","80093000000"
"122a6302GG...","AUSTRIA","2005","CURRENCY AND DEPOSITS","NATL CURRENCY","0"
"122a6202GG...","AUSTRIA","2005","CURRENCY AND DEPOSITS","NATL CURRENCY","10548000000"
"122a6305GG...","AUSTRIA","2004","SHARES AND OTHER EQUITY","NATL CURRENCY","0"
"122a6205GG...","AUSTRIA","2004","SHARES AND OTHER EQUITY","NATL CURRENCY","31609000000"
"122a6203GG...","AUSTRIA","2004","SECURITIES OTHER THAN SHARES","NATL CURRENCY","4679000000"
"122a6303GG...","AUSTRIA","2004","SECURITIES OTHER THAN SHARES","NATL CURRENCY","136392000000"
"122a6208GG...","AUSTRIA","2004","OTHER ACCOUNTS RECEIVABLE","NATL CURRENCY","4702000000"
"122a6308GG...","AUSTRIA","2004","OTHER ACCOUNTS PAYABLE","NATL CURRENCY","2549000000"
"122a6M2.GG...","AUSTRIA","2004","NET FINANCIAL WORTH [62-63]","NATL CURRENCY","-88166000000"
